Type d'erreur	Erreur observée	Correction proposée	Fréquence dans l'échantillon	Frequence dans TGB	Date corpus	Date océrisation( voir gaël)	Remarque
Remplacement	davanlafo	davantage					
Remplacement	DB	DE					
Remplacement	dcBœckh1	de Bœckh 1					
Remplacement	dcDodwell	de Dodwell					
Remplacement	dclatantes	éclatantes					
Remplacement	dcoles	écoles					
Remplacement	dçs	des					
Remplacement	ddbuts	débuts					
Remplacement	ddcouvertes	découvertes					
Remplacement	ddcouvre	découvre					
Remplacement	ddfaillances	défaillances					
Remplacement	ddfauts	défauts					
Remplacement	ddfendre	défendre					
Remplacement	ddfendu	défendu					
Remplacement	ddfinitif	définitif					
Remplacement	ddja	déjà					
Remplacement	Ddlos	Délos					
Remplacement	ddtachent	détachent					
Remplacement	ddvots	dévots					
Remplacement	dé'jà	déjà					
Concatenation	de« bout	debout					
Concatenation	de« venir	devenir					
Remplacement	débals	débats					
Remplacement	débarquai!	débarquait					
Remplacement	debarrasser	débarrasser	1				
Remplacement	debiteur	débiteur	6				
Remplacement	debris	débris	1				
Remplacement	debut	début	2				
Remplacement	déc'sil's	décisifs					
Remplacement	déc/^u-	décou-					
Remplacement	decadence	décadence	1				
Remplacement	Decadence	décadence	1				
Remplacement	decembre	décembre	5				
Remplacement	Decembre	décembre	1				
Remplacement	decès	décès	3				
Remplacement	Decès	décès	1				
Remplacement	decharge	décharge	2				
